NumTrajs,Perplexity,ExplainedVariance,MaxReturn,Time,Iteration,Entropy,MinReturn,LossAfter,AverageAbsQ,AverageReturn,AbsLearnSignal,AbsLearnSignalOld,dLoss,AverageDiscountedReturn,MeanKLBefore,StdReturn,MeanKL,LossBefore,AverageAbsY,AverageQ,EnvExecTime,PolicyExecTime,AverageQLoss,AveragePolicyStd,AbsLearnSignalNew,AverageAbsQYDiff,ProcessExecTime,ItrTime,AverageY
1,7.673475,0.46623094491526573,101.33129370662968,3953.377766609192,769,2.0377696,101.33129370662968,-19.385181,24.92055,101.33129370662968,0.5283329688609588,0.5264214022802682,0.049886703,26.513350164433053,0.0,0.0,0.0097997105,-19.335295,24.971864251359182,21.195612,1.070242166519165,0.48899078369140625,4.7371993,0.7311211,0.5283329688609588,0.90118120253361,0.014975547790527344,4.843794584274292,21.19466420777614
1,7.762417,0.1341090228337276,155.2136364693574,3957.9270713329315,770,2.0492938,155.2136364693574,-30.238468,24.907772,155.2136364693574,0.5272427479473256,0.5278492136719893,0.03738022,54.62328826562056,0.0,0.0,0.00980186,-30.201088,24.95801616589572,21.271105,0.7204699516296387,0.47827792167663574,4.728479,0.72919947,0.5272427479473256,0.9026604196625918,0.015065431594848633,4.509203910827637,21.269233767820705
1,7.7768846,0.8594421919758115,148.06207920842138,3962.469081401825,771,2.0511558,148.06207920842138,-16.755661,24.954817,148.06207920842138,0.5204101882495034,0.5164134420335603,0.039081573,61.93782075944179,0.0,0.0,0.009978338,-16.71658,25.013785966941047,21.31701,0.7251405715942383,0.48526453971862793,5.076351,0.7354019,0.5204101882495034,0.9175882886439152,0.015210151672363281,4.536722183227539,21.317459284608013
1,7.7784643,0.9842846296467451,198.15770173845516,3966.8670241832733,772,2.051359,198.15770173845516,-14.286982,24.785137,198.15770173845516,0.4622139063886141,0.4389137704248987,0.058203697,114.05093663340857,0.0,0.0,0.0064060646,-14.228778,24.843351595386054,21.095942,0.6194570064544678,0.46784424781799316,4.6564775,0.7381146,0.4622139063886141,0.8854168413449224,0.015116453170776367,4.392924547195435,21.09567377891531
1,7.7929487,0.4898685524466425,141.10218274509103,3971.8745954036713,773,2.0532193,141.10218274509103,-27.748043,25.000546,141.10218274509103,0.463167010193592,0.46321025678140076,0.032737732,42.961443020750345,0.0,0.0,0.0065477476,-27.715305,25.05882166250283,21.278557,1.1080892086029053,0.4876885414123535,5.109951,0.7366604,0.463167010193592,0.9166829053071865,0.015028953552246094,4.967369556427002,21.27755652355402
1,7.7301025,0.9886158943598978,161.4758612285378,3976.5616722106934,774,2.0451221,161.4758612285378,-29.367094,24.872711,161.4758612285378,0.44019771649791856,0.4088580717442143,0.02967453,66.54332885740168,0.0,0.0,0.006609004,-29.33742,24.927696489715423,21.17072,0.8963379859924316,0.48250246047973633,5.364598,0.7337318,0.44019771649791856,0.9057556691707773,0.015176057815551758,4.682297468185425,21.170069688331335
1,7.6475673,0.4521029542009619,147.92431290878662,3981.476262807846,775,2.0343876,147.92431290878662,-19.313084,24.804367,147.92431290878662,0.6222697045940879,0.6225957790249351,0.029241562,79.57190028789014,0.0,0.0,0.0073211286,-19.283842,24.862213613660227,21.150482,1.0866057872772217,0.48479294776916504,4.3114347,0.7291325,0.6222697045940879,0.8975338894774452,0.014993667602539062,4.909846782684326,21.15006937980669
1,7.643925,0.009222715182536922,113.51363553892803,3986.505574941635,776,2.0339112,113.51363553892803,-14.617355,24.96807,113.51363553892803,0.6907279568689235,0.6918907117443311,0.035938263,49.778374906150184,0.0,0.0,0.0064705955,-14.581417,25.041100349493107,21.272911,1.0967738628387451,0.48927950859069824,7.105576,0.7277366,0.6907279568689235,0.9679724315964882,0.015159130096435547,4.988153457641602,21.272272609686798
1,7.696372,0.8762423073629889,93.39499447833232,3991.3436963558197,777,2.040749,93.39499447833232,-16.037207,24.627398,93.39499447833232,0.6110313051363753,0.6044733942080202,0.032499313,37.972167022975704,0.0,0.0,0.009689296,-16.004707,24.678737956285776,21.000841,0.9749307632446289,0.48615193367004395,4.3472633,0.7310108,0.6110313051363753,0.861306937341005,0.014884710311889648,4.83331561088562,21.00311498704288
3,7.8227334,-3.4650620829490046,250.2966615590736,3996.599111557007,778,2.057034,164.87622446777064,-31.06257,25.129747,212.3321250780482,0.4724766246463054,0.47258896540815276,0.03778839,66.20403811850234,0.0,35.512695035182865,0.006494687,-31.024782,25.2007294969753,21.586395,1.1326253414154053,0.7567546367645264,6.014616,0.73127604,0.4724766246463054,0.9022054856149139,0.024549007415771484,5.246923923492432,21.58619528468326
