AbsLearnSignal,MeanKLBefore,Iteration,LossBefore,MeanKL,StdReturn,MinReturn,ItrTime,PolicyExecTime,MaxReturn,Perplexity,LossAfter,AverageDiscountedReturn,dLoss,EnvExecTime,NumTrajs,Entropy,AveragePolicyStd,AverageReturn,ExplainedVariance,Time,ProcessExecTime
77.74279104554684,-1040.9608168294214,-0.018857278,3.1097726821899414,4.2578125,2,-1207.6560641005867,1.0302659,-1358.4746724379902,0.02799248695373535,0.009627112,0.862415075302124,0.9343633212150011,0.3319869041442871,0.7909640365316599,32,-9.536743e-09,1.4487555,0.0,0.2363901138305664,-525.1893107614187,0.018857269
114.8539515363706,-889.6804128560706,-0.010903554,3.9448702335357666,4.36262,3,-1126.6706138533816,1.0556266,-1454.2511115604268,0.029454708099365234,0.0040371777,0.8317835330963135,0.8825452115911193,0.33800792694091797,0.7803807065175143,32,4.7683715e-09,1.4730728,0.0,0.2353193759918213,-496.61105878453304,0.010903559
87.45586226815514,-874.987413769696,-0.010183987,4.803046941757202,4.4378066,4,-1073.3207743930445,1.0738194,-1276.7559453615252,0.03228616714477539,0.0060897144,0.8520591259002686,0.9005025762210995,0.34261178970336914,0.8008190557942805,32,2.3841857e-09,1.4901602,0.0,0.23639774322509766,-460.2033748709528,0.01018399
144.85945872630913,-732.4243429227291,-0.008930442,5.646167993545532,4.4079175,5,-1027.8740750572797,1.0665873,-1442.6606580482799,0.02768564224243164,0.008449249,0.8385803699493408,0.8571555084892798,0.3301239013671875,0.7906355168644024,32,-4.7683715e-09,1.4834024,0.0,0.23472094535827637,-463.6792414059695,0.008930437
105.30483147343107,-762.3713026009015,-0.00955195,6.473724126815796,4.3195276,6,-963.6230440687862,1.0451993,-1198.581853761317,0.027698516845703125,0.009333752,0.8237285614013672,0.8879006859859215,0.31792283058166504,0.7928384296733509,32,-0.0,1.4631461,0.0,0.22028255462646484,-434.44161590638197,0.00955195
115.1953189651952,-749.1917367101878,-0.009482115,7.336007118225098,4.27807,7,-941.7588179033652,1.0351677,-1212.152326806299,0.028060197830200195,0.006375574,0.8584449291229248,0.9095924185695542,0.3357703685760498,0.8074749450858275,32,-2.3841857e-09,1.4535019,0.0,0.22605276107788086,-433.34316811170686,0.009482112
76.96334874658994,-748.8857581265512,-0.010453114,8.149547338485718,4.228172,8,-907.2358919844175,1.023094,-1129.6899926083895,0.03311562538146973,0.0081329625,0.8076229095458984,0.9025451316440429,0.32419753074645996,0.8191816016034289,32,4.7683715e-09,1.4417697,0.0,0.22460198402404785,-407.5467997739221,0.010453119
81.66090949235459,-715.7622404331947,-0.008115845,9.01263165473938,4.2925534,9,-871.4376777088244,1.0386723,-1021.0568978253623,0.02822136878967285,0.0068597817,0.8595888614654541,0.8986719858436474,0.32805681228637695,0.8091425676403847,32,-2.3841857e-09,1.4568818,0.0,0.23330354690551758,-400.48640539944915,0.008115842
94.63680423853381,-616.1136062615752,-0.008731425,9.829185962677002,4.278747,10,-818.8099719197513,1.0353315,-998.991025805614,0.027870655059814453,0.006821382,0.8132238388061523,0.8706733348303916,0.31787681579589844,0.8185306801473411,32,9.536743e-09,1.4536602,0.0,0.22977709770202637,-368.38795994758885,0.008731434
81.72165371228657,-624.3682407666956,-0.009970547,10.643861532211304,4.2168207,11,-778.919390750583,1.0203475,-991.112380759096,0.03131580352783203,0.007232031,0.8108890056610107,0.8540975146639631,0.306171178817749,0.8229911482329814,32,-2.3841857e-09,1.4390814,0.0,0.21826171875,-354.6171657124298,0.009970544
