Perplexity,AbsLearnSignalOld,EnvExecTime,AverageDiscountedReturn,Time,MaxReturn,LossAfter,ExplainedVariance,NumTrajs,LossBefore,dLoss,MeanKL,PolicyExecTime,AveragePolicyStd,Iteration,AbsLearnSignal,MinReturn,Entropy,StdReturn,MeanKLBefore,ProcessExecTime,ItrTime,AverageReturn,AbsLearnSignalNew
17.436447,0.547487703,0.0850417614,-23.4809828773,25.174602747,-104.1131931358,-4.0553754668,2.3232021,-50.611089703,1,7.5895023563,2.4411101,15.416282,0.117908,0.006547874,7.3723445,1.7034010165,0.0641415119,1.0118928,27,0.5475844303,,-104.1131931358,-4.057622
17.520655,0.7823765191,0.0872066021,-31.6714439232,26.0923941135,-106.659131776,-3.9961732208,2.228502,-0.6902328958,1,7.8186520318,2.3573008,11.046435,0.12879872,0.0066660913,7.616398,1.5937425893,0.063536644,1.0147666,28,0.7823982272,,-106.659131776,-3.9858007
17.420288,0.7727487554,0.0766339302,-35.6080736841,26.997957468,-69.6415394778,-4.1940788806,2.0391111,-10.1172914344,1,8.2947890996,2.1695435,15.485215,0.13043237,0.006830102,8.097982,1.6755935438,0.0625097752,1.0117569,29,0.7718399753,,-69.6415394778,-4.1860514
17.16567,0.7417366815,0.0887753963,-22.8121913373,27.8957335949,-77.8622201208,-4.338333002,2.0288072,-3.4419833276,1,8.4257101853,2.1242843,15.178869,0.095477104,0.0067935777,8.185269,1.6935659884,0.0634508133,1.0042624,30,0.7420234471,,-77.8622201208,-4.316455
16.820396,0.7329525011,0.0940744877,-1.9914764928,28.8096458912,-17.29635631,-4.1346363704,0.7819018,-0.2226208132,1,8.5898685316,0.88534033,13.041213,0.103438556,0.0064226217,8.400967,1.6273184452,0.0620260239,0.99455214,31,0.732168771,,-17.29635631,-4.1490016
16.687483,0.6864164378,0.0843653679,-27.515478523,29.72570014,-42.0402478094,-3.7219670651,1.4244375,-7.2600107908,1,8.4600328512,1.4744893,10.095289,0.05005181,0.006270376,8.279168,1.5226406398,0.0652024746,0.9906823,32,0.6874060452,,-42.0402478094,-3.7021441
16.432278,0.8392864258,0.0849173069,-27.6003822117,30.6696212292,-45.5304860057,-3.5402055535,2.887455,-0.4555851265,1,8.5962211975,3.0129058,14.152574,0.12545085,0.00992975,8.389099,1.6293186254,0.0651578903,0.9832782,33,0.8373412481,,-45.5304860057,-3.533408
16.324781,0.7604220489,0.0861463547,-22.2843888517,31.5809464455,-39.3177024486,-3.5483026772,0.9114901,-7.2796854636,1,8.7811351624,1.0000015,10.878366,0.08851147,0.007981542,8.581364,1.5770691633,0.0642392635,0.9799709,34,0.7600659332,,-39.3177024486,-3.551964
16.129797,0.8329591758,0.0823910236,-1.3021287384,32.5180313587,25.0934708295,-3.6118646391,0.71548086,-6.1226958269,1,8.9763917478,0.79006386,11.996526,0.074582994,0.0065952586,8.745275,1.5737382673,0.0620832443,0.9755683,35,0.8339556927,,25.0934708295,-3.6015942
16.280266,0.6630846178,0.0852646828,-24.8249383647,33.4226078987,-54.2678942854,-3.6474973446,1.7835666,-1.9481270514,1,9.3047585172,1.8702826,14.592712,0.086716056,0.00681914,9.08836,1.6926353659,0.065038681,0.98004895,36,0.66655431,,-54.2678942854,-3.6376226
16.249111,0.6667466857,0.0838301182,-13.1717700224,34.359318018,-17.2666456159,-3.2896517215,1.6548377,-1.6286636655,1,9.2130602848,1.7268932,12.288128,0.07205546,0.0065865745,8.990438,1.6084607315,0.0631513596,0.9791042,37,0.6675218223,,-17.2666456159,-3.2888079
16.149382,0.8037867444,0.0891695023,-8.3849621582,35.328722477,-35.5922157121,-3.3414439494,1.1216049,-2.2293026656,1,9.3630741388,1.1893567,10.50374,0.067751765,0.0074566235,9.15177,1.5591504553,0.0654957294,0.97545433,38,0.8047451734,,-35.5922157121,-3.3276196
16.375486,0.766212924,0.0966963768,-5.5094149412,36.2656507492,-26.3444241129,-2.9061286506,-0.037602734,-0.0406327037,1,9.227828624,0.02308179,12.537804,0.060684524,0.009199995,8.976507,1.5937224643,0.069391489,0.9821698,39,0.7612948534,,-26.3444241129,-2.9044144
16.473166,0.9273067453,0.0868005753,-14.8965156515,37.1785693169,-33.9757720006,-3.2290715135,0.15886302,0.1715162676,1,9.7543645964,0.24097967,13.60816,0.08211665,0.00698645,9.518746,1.6622175317,0.0646538734,0.9868045,40,0.9216774841,,-33.9757720006,-3.2266912
16.357107,0.8526490498,0.088296175,-4.0348467032,38.1153261662,-13.6459501972,-2.9063956549,0.66959953,-11.4622469935,1,9.6368104811,0.763954,11.296392,0.09435445,0.009058996,9.43579,1.6120026382,0.0618975163,0.9829665,41,0.8529440686,,-13.6459501972,-2.8868983
15.727573,0.7630160893,0.1207427979,14.442251438,39.1082658768,2.8991959219,-2.8955181388,0.6300736,-3.5379872835,1,9.8883337287,0.6808312,10.235981,0.050757587,0.0064897095,9.659168,1.5301077817,0.0913038254,0.962879,42,0.7649953093,,2.8991959219,-2.8871746
15.846838,0.7401015207,0.0884077549,-0.0344795706,40.021825552,-24.9342078387,-2.7504253304,1.4596905,-0.3102403638,1,10.0028388966,1.5282006,13.57505,0.068510175,0.0071097375,9.769814,1.6403259303,0.0656228065,0.9667596,43,0.734772532,,-24.9342078387,-2.743875
15.860074,0.6508820336,0.0979194641,-4.9111901176,40.9817516804,-28.9978941524,-2.3457653731,1.8984429,0.6715159893,1,9.9555735979,1.9906446,9.502102,0.09220171,0.00955096,9.745842,1.532782045,0.0651545525,0.96712023,44,0.6528036891,,-28.9978941524,-2.3231902
15.892536,0.8754867887,0.0908408165,-2.5820321692,41.9032402039,-13.5274732701,-2.7895879111,1.7216734,-2.8462102047,1,10.5255927445,1.7933353,14.977279,0.07166195,0.00673575,10.270498,1.6808292017,0.0655272007,0.96965647,45,0.875958196,,-13.5274732701,-2.7715137
15.609374,0.8368873157,0.096145153,0.8980451976,42.8518087864,-6.0051610216,-2.0891032151,1.1720799,-3.4997880602,1,10.3426781028,1.2484745,11.732464,0.07639456,0.009504914,10.130932,1.6218251905,0.063387394,0.96034986,46,0.8364143069,,-6.0051610216,-2.093852
15.793365,0.8100683787,0.0851876736,-10.7768966098,43.7794933319,-8.2953793159,-2.2662171082,1.3442262,-9.9680398252,1,10.5921576303,1.4076265,12.9217825,0.06340027,0.0067335,10.349923,1.6381548455,0.0632543564,0.9655081,47,0.8097392174,,-8.2953793159,-2.2537339
16.044037,0.8313385616,0.0807578564,-12.7096753159,44.6912868023,-31.7420917538,-2.1816385866,0.70840675,-1.9488231492,1,10.5887650801,0.7836838,10.092367,0.07527703,0.00780542,10.390711,1.5318488446,0.061040163,0.97221214,48,0.8344442706,,-31.7420917538,-2.1705863
16.022472,0.6569373728,0.087644577,11.7273909804,45.6110796928,-14.6322318611,-2.2536860291,0.69366926,0.2033244368,1,10.7752090261,0.7506579,13.546833,0.056988657,0.006661053,10.554551,1.6775713199,0.0642886162,0.97200507,49,0.6648582814,,-14.6322318611,-2.2391343
15.953985,0.7066966045,0.0977947712,21.2743348739,46.5337567329,43.7677249168,-2.0528044144,-1.5303745,-2.2949670142,1,10.8649130689,-1.4384723,11.8012705,0.091902256,0.00859047,10.665676,1.5739643664,0.0664458275,0.96998274,50,0.705479648,,43.7677249168,-2.0503283
15.890869,0.7939468075,0.0963146687,-28.3960904103,47.4483683109,-71.523067756,-1.8489062373,0.8998002,-16.6830058409,1,11.0990425856,0.9980592,11.466681,0.09825903,0.009368052,10.883697,1.5900537414,0.0628595352,0.9680963,51,0.7936195127,,-71.523067756,-1.8335599
15.845024,0.821295174,0.0937170982,-19.0908015596,48.3732509613,-85.9466352838,-1.8913741906,0.35336897,-0.7522124286,1,11.2718822533,0.4477146,9.179518,0.09434563,0.0064075347,11.071381,1.5171412094,0.0669870377,0.9666705,52,0.8210132541,,-85.9466352838,-1.8723279
15.669,0.7510979414,0.0840058327,-14.2349356754,49.2810556889,-29.2674119507,-1.8914412271,1.0799706,-1791.0452597584,1,11.4630943299,1.1478426,11.931963,0.06787205,0.0076720156,11.2516365,1.6688438684,0.0628502369,0.96100837,53,0.7509862792,,-29.2674119507,-1.888999
16.090868,0.7175080135,0.0805315971,-12.7350435114,50.2070708275,-42.921356732,-2.1022702221,1.095344,-0.3662439321,1,11.5476166831,1.1466606,15.235473,0.05131662,0.0070408923,11.3001795,1.7554384122,0.0613775253,0.97412765,54,0.7104503795,,-42.921356732,-2.0823648
15.8957615,0.4673991481,0.0865490437,19.8592201906,51.1166417599,-14.8922814142,-1.5416361165,-0.46017835,-2.0616986658,1,11.418203611,-0.37628976,10.166688,0.08388859,0.007390467,11.223852,1.5877835291,0.0628864765,0.96913916,55,0.4689706307,,-14.8922814142,-1.5240979
15.560909,0.8254659972,0.0857334137,11.8757447868,52.0388894081,17.3861547203,-2.0086245135,0.3304026,-15.3659825229,1,11.6402530918,0.37740144,9.436907,0.04699883,0.006559672,11.472915,1.5647629732,0.0615963936,0.9589639,56,0.8258104623,,17.3861547203,-1.9968201
15.401639,0.6520146172,0.0849061012,0.0378831209,52.9885702133,-28.6872711772,-1.8912127449,0.64658594,-8.6443493062,1,11.8517553383,0.7097844,10.2419815,0.06319845,0.0067945407,11.685991,1.5526382271,0.0609791279,0.9543702,57,0.6534570471,,-28.6872711772,-1.8952829
15.526159,0.803939793,0.0909683704,18.9135291345,53.9090192318,-10.6317724493,-1.4341016753,-0.9963353,-2.0578341274,1,11.8013255298,-0.9286575,9.426326,0.067677855,0.006491642,11.630249,1.5612721356,0.0636615753,0.95844,58,0.8051202839,,-10.6317724493,-1.4188821
15.628555,0.818245346,0.0821895599,-5.0251421937,54.8098394871,-26.2514572795,-1.4951916856,-0.60628635,0.6909730511,1,11.8040938133,-0.54129845,13.068799,0.0649879,0.009130782,11.561481,1.6610072432,0.06457901,0.96189314,59,0.8286108643,,-26.2514572795,-1.493862
15.503861,0.7320774005,0.0847759247,14.803497762,55.7015500069,21.5471008558,-1.3318952444,0.24997997,-14.598641233,1,11.9382562989,0.30326718,10.6667185,0.053287208,0.0067313383,11.735929,1.59950721,0.0640513897,0.9574192,60,0.7319720285,,21.5471008558,-1.3173622
15.259031,0.7163596072,0.0795419216,10.7471820348,56.5992810726,10.8772443226,-1.1107673969,-0.44220003,-47.9869019185,1,11.8944111463,-0.38718024,9.85281,0.055019796,0.006444627,11.704898,1.5643439283,0.0623040199,0.95116174,61,0.7162044664,,10.8772443226,-1.1012883
15.648179,0.686956326,0.080142498,-9.5074491288,57.4840579033,-30.8544812635,-1.4257671264,0.6398991,-1.7446604668,1,12.0185210013,0.6832073,9.107364,0.0433082,0.0067493794,11.837236,1.5478670895,0.0635950565,0.9626953,62,0.6923103766,,-30.8544812635,-1.4111274
16.126036,0.7628413836,0.0851693153,20.0500470474,58.3932952881,20.0626977518,-1.2967638758,-2.3346276,-28.4873641407,1,11.9372192225,-2.2649987,11.1089115,0.069628954,0.0066992594,11.750269,1.6455751308,0.0626449585,0.9770258,63,0.7622098387,,20.0626977518,-1.2896417
16.264748,0.5726767359,0.0752332211,17.3296560888,59.2962520123,9.5461665614,-1.2635556163,-0.6307756,-1.929910891,1,12.044060605,-0.55932534,11.129114,0.07145023,0.008436371,11.8324585,1.6040235382,0.0624141693,0.981048,64,0.5663874971,,9.5461665614,-1.2568897
16.229939,0.7162918608,0.083725214,12.7496764099,60.1966702938,14.8836309897,-1.4404917258,-0.044733025,-11.8536869054,1,12.1160022159,0.01855724,11.723758,0.06329027,0.0070693456,11.924577,1.6266418859,0.0635519028,0.97976655,65,0.7154247676,,14.8836309897,-1.4365758
15.967936,0.7639769618,0.0991487503,38.1225030675,61.133118391,37.9865046244,-1.1288342363,-3.9051912,0.791879572,1,12.2148736292,-3.8296585,9.901383,0.075532675,0.00924138,12.056408,1.5420566361,0.0655887127,0.9709427,66,0.7738823754,,37.9865046244,-1.1147605
16.010406,0.736981273,0.0885272026,24.7583216204,62.0495197773,45.3344742892,-0.8947334786,-3.3789313,0.8393421264,1,12.1439979029,-3.275326,10.887725,0.10360527,0.009588989,11.948706,1.6642193216,0.0627143383,0.97176903,67,0.7401427585,,45.3344742892,-0.8880951
