AveragePolicyStd,AbsLearnSignal,AverageReturn,LossBefore,ExplainedVariance,Time,EnvExecTime,AverageAbsY,AverageDiscountedReturn,AverageY,Iteration,ItrTime,AverageAbsQ,AverageQ,AbsLearnSignalOld,AverageAbsQYDiff,MeanKL,MaxReturn,NumTrajs,ProcessExecTime,Entropy,StdReturn,PolicyExecTime,AbsLearnSignalNew,dLoss,LossAfter,MinReturn,MeanKLBefore,AverageQLoss,Perplexity
0.99438757,0.7774431251818296,-28.493871701980098,-2.2945366,0.8962305131141385,273.9857816696167,3.8082611560821533,17.44364345832145,29.04978126235546,-0.5425393371937762,28,10.70954179763794,17.348188,-0.5402191,0.7761857642944396,1.6445192422997894,0.008065463,-2.959589324835303,2,0.01899242401123047,2.8265154,25.534282377144798,0.5112819671630859,0.7774431251818296,0.07411909,-2.3686557,-54.028154079124896,0.0,12.98963,16.886517
0.99199075,0.7457075608163819,-29.18366627857349,-3.5122886,0.8997708887438777,284.78854393959045,3.7105183601379395,17.300064312073122,32.26920162785753,-0.3294589595360403,29,10.762328863143921,17.21473,-0.32511702,0.7360657539504982,1.7201601890580156,0.009031256,-5.771008470753113,2,0.018581151962280273,2.821738,23.412657807820377,0.5024073123931885,0.7457075608163819,0.052746773,-3.5650353,-52.59632408639387,0.0,15.987408,16.806034
0.9854483,0.7004367296213115,-15.815375216612608,-2.5332394,0.7775092584667158,295.1409809589386,3.384648084640503,17.056545091822937,34.280403005966136,-0.24494548566341454,30,10.31287431716919,16.964685,-0.2407559,0.6780713369437408,1.6725994505103048,0.009681676,-10.776472173786859,2,0.01817917823791504,2.8085494,5.038903042825749,0.4946751594543457,0.7004367296213115,0.046433687,-2.579673,-20.854278259438356,0.0,15.745803,16.585842
0.98179823,0.7906844906306301,-14.205512242200317,-3.1044927,0.8532803146065409,306.54059052467346,4.4433252811431885,17.07200549676005,43.59844742759448,0.05022073768219491,31,11.36015009880066,16.99755,0.054149076,0.7804078535637777,1.7080991605285805,0.0069396514,-14.071948998534788,2,0.018758535385131836,2.8011372,0.13356324366553007,0.5172238349914551,0.7906844906306301,0.042219877,-3.1467125,-14.339075485865848,0.0,15.8913145,16.463358
0.98776674,0.6261286644829862,-14.375146755334654,-3.578196,0.7687275540999039,317.2205562591553,3.5516088008880615,16.879562490376788,37.4643928956053,0.523755766236393,32,10.639955043792725,16.796143,0.5264745,0.5984917402716681,1.706488501721052,0.006757906,-8.605198474668999,2,0.0183870792388916,2.813194,5.7699482806656555,0.48809337615966797,0.6261286644829862,0.055615664,-3.6338117,-20.14509503600031,0.0,17.4159,16.663055
0.98596585,0.7563403116466976,-6.367117705591697,-4.483054,0.9291785808278322,327.01361894607544,2.65401291847229,16.679210708492896,34.36890909494683,1.3159136703169534,33,9.751701831817627,16.59867,1.3179529,0.7404059714436243,1.6227719885845389,0.009522317,2.1027885971821862,2,0.018751144409179688,2.8095229,8.469906302773884,0.4906899929046631,0.7563403116466976,0.031587124,-4.5146413,-14.837024008365582,0.0,14.205368,16.601995
0.9819224,0.4000516432704938,51.02930696300293,-2.8460612,0.326346961161906,338.79566979408264,4.600484371185303,16.725651641503426,36.25455949804212,1.8687791061894643,34,11.77652359008789,16.6519,1.8710828,0.3808420113563676,1.5999306425861701,0.006410567,169.13151115780548,3,0.028050661087036133,2.8012922,83.8439814140732,0.7944986820220947,0.4000516432704938,0.03325343,-2.8793147,-17.166293605722682,0.0,13.509219,16.46591
0.9828554,0.7124481623671912,9.659406304368446,-6.075971,-1.1744162594300471,349.09079337120056,3.352020025253296,17.03195448686189,43.033327247499244,2.3718386251767343,35,10.255200386047363,16.949522,2.3726587,0.7118141530906077,1.6255869698408927,0.006570143,10.426804730060857,2,0.018353939056396484,2.803183,0.7673984256924111,0.5110702514648438,0.7124481623671912,0.05916834,-6.1351395,8.892007878676035,0.0,14.433536,16.497074
0.981207,0.7829574984787416,-16.83132881656732,-4.9015174,-0.4767275769388437,360.3229625225067,4.2244181632995605,17.187001461568254,43.28850128832818,3.0552022306731517,36,11.190085887908936,17.094997,3.0578303,0.7872851113801412,1.5809931358376166,0.0068248664,7.335526498967251,2,0.018378257751464844,2.7999034,24.166855315534576,0.49541139602661133,0.7829574984787416,0.05962658,-4.961144,-40.9981841321019,0.0,12.958485,16.443058
0.98240477,0.7626623777862084,-19.378051300224154,-3.658021,0.9375539050169598,370.0616760253906,2.9664299488067627,17.583749611469845,40.464319382169485,3.5481082358046074,37,9.698968887329102,17.498913,3.550042,0.746038416983348,1.582906476594674,0.009984879,-14.246034443205643,2,0.018531322479248047,2.8023183,5.132016857018512,0.4930727481842041,0.7626623777862084,0.03342414,-3.691445,-24.510068157242667,0.0,13.325246,16.482815
0.9763517,0.6969174393456682,17.10154672778067,-0.27533928,0.6741582370132494,380.8890917301178,3.883699417114258,18.04993555944423,30.108560068474326,4.220860494608481,38,10.820363521575928,17.971783,4.2229695,0.6839244559443494,1.5679545674746678,0.006605808,23.89381013151062,2,0.018265485763549805,2.7897606,6.79226340372995,0.4969451427459717,0.6969174393456682,0.046587348,-0.32192662,10.30928332405072,0.0,12.486671,16.277122
0.9807359,0.7919920330105468,-30.95482383278855,-3.5936053,0.02599819211255594,390.76775550842285,3.0145702362060547,18.394241448919708,30.002139973516257,4.9411350109426815,39,9.836500883102417,18.319128,4.942346,0.7951590893633308,1.5624225877870148,0.0070141917,-25.697881024191076,2,0.018591642379760742,2.7985766,5.256942808597472,0.49855518341064453,0.7919920330105468,0.037795067,-3.6314003,-36.21176664138602,0.0,12.601307,16.421255
0.98087937,0.4220168208886311,-5.05924469590963,-4.782005,0.1601245171636262,401.01928973197937,3.3317856788635254,18.538094776327814,45.10135007225121,5.630376904477912,40,10.246718883514404,18.464502,5.63019,0.4043159384070078,1.5368308470473915,0.0064920904,26.97539771319184,2,0.01814556121826172,2.798851,32.034642409101465,0.4764902591705322,0.4220168208886311,0.035432816,-4.8174376,-37.0938871050111,0.0,12.160952,16.425762
0.97826904,0.8036622881660618,-10.549325030764031,-5.988257,0.9309292400266175,410.87127900123596,2.912440776824951,18.911757260063208,46.145598159656785,6.358102050944527,41,9.81225061416626,18.842752,6.3606677,0.8077257250746885,1.5818388365915494,0.006600978,-2.041116961179313,2,0.018220186233520508,2.7932355,8.508208069584718,0.49742650985717773,0.8036622881660618,0.03514576,-6.0234027,-19.05753310034875,0.0,13.285743,16.333782
0.9810476,0.5076710732827183,68.00815778017294,-1.4649737,0.15589787410153455,424.77318477630615,6.637300729751587,19.4191447080162,36.511579133268285,6.971620581202868,42,13.896807432174683,19.344927,6.973718,0.4967691896246426,1.615664940302512,0.006508584,209.8685196440109,3,0.03284263610839844,2.7990148,100.58338718901936,0.9595882892608643,0.5076710732827183,0.039631367,-1.504605,-11.991475534331764,0.0,14.599879,16.428453
0.9822404,0.7448239765350959,-44.858042544533,-3.754128,0.8140079528962261,435.1473112106323,3.5581703186035156,19.801308145562974,37.69405013409886,7.576314684573864,43,10.334056854248047,19.737432,7.5771985,0.7387225764467518,1.5482653966309599,0.0067404155,-24.03301403858684,2,0.018196582794189453,2.8015254,20.825028505946158,0.47675585746765137,0.7448239765350959,0.04395652,-3.7980845,-65.68307105047916,0.0,12.825858,16.46975
0.9831967,0.5036644895986614,-9.55604480776955,-6.9685645,-2.5391109844362605,445.1916859149933,3.1074368953704834,20.012711973935154,45.82170293421486,8.0115440635331,44,10.005011320114136,19.949007,8.012901,0.5031141041122469,1.5070272394894029,0.006402824,-7.602208635649345,2,0.018519163131713867,2.803555,1.9538361721202055,0.511986255645752,0.5036644895986614,0.040737152,-7.0093017,-11.509880979889756,0.0,11.892034,16.503212
0.98754686,0.7542816382253782,-19.517698819217312,-7.5754533,0.8920313770627788,455.03260254859924,2.9009406566619873,20.50889097051413,43.01307386853088,8.74307182233726,45,9.80141806602478,20.452463,8.744959,0.7444503817413595,1.5405948010623123,0.0097891,-9.481272449281043,2,0.018090248107910156,2.8125024,10.036426369936269,0.4854552745819092,0.7542816382253782,0.036507607,-7.611961,-29.55412518915358,0.0,12.943326,16.651535
0.9880858,0.7445282482393831,6.816933655986354,-5.7297115,0.6691718887802585,465.01253485679626,3.122612714767456,20.669589881274785,41.805089055986485,8.865067126903671,46,9.974624872207642,20.605463,8.868061,0.7440535711705356,1.5082226956702602,0.00983814,41.76952147300952,2,0.01817178726196289,2.813587,34.952587817023165,0.4888784885406494,0.7445282482393831,0.054415226,-5.7841268,-28.13565416103681,0.0,14.193139,16.669603
0.98982346,0.7370320912174468,-17.250399212561902,-6.9974957,0.9146198898039198,474.3266260623932,2.5080325603485107,20.907401748102142,51.45376584589453,9.012353412638564,47,9.274508476257324,20.843086,9.013924,0.7267025595931791,1.5308137208316326,0.009789596,-0.012513692100708518,2,0.018075227737426758,2.8169987,17.23788552046119,0.4833254814147949,0.7370320912174468,0.035296917,-7.0327926,-34.48828473302309,0.0,13.990727,16.726574
0.98999685,0.6794803181246812,128.23350592716258,-10.449825,-2.165219140819003,483.77657532691956,2.3534204959869385,21.23360120343419,47.045302573024436,9.579423845287005,48,9.44471549987793,21.180332,9.5804,0.6797310639695104,1.5147104428099478,0.009622439,197.12615120574358,4,0.0249786376953125,2.817343,90.10717527704817,0.681861162185669,0.6794803181246812,0.07802677,-10.527852,-26.763072284751683,0.0,14.015713,16.732334
0.99039173,0.7092599546641654,-6.435746366297167,0.8678801,0.002984714517204612,493.0353400707245,2.4115397930145264,21.44904486711376,37.87555675031187,9.56490064087161,49,9.21856689453125,21.390072,9.567052,0.7023828635955149,1.546073320715753,0.006458861,65.3619064672949,2,0.018326759338378906,2.8181684,71.79765283359207,0.4808921813964844,0.7092599546641654,0.0819186,0.7859615,-78.23339919988923,0.0,15.837116,16.746151
0.9914559,0.4719147851472983,115.35362934149136,-7.1857924,0.3392838845313185,505.0678069591522,4.778111696243286,21.678829895747878,55.67681856326222,9.658417912295764,50,12.026897668838501,21.610518,9.65946,0.4649407660134549,1.6213139261886527,0.009613955,178.09420868705593,3,0.03001546859741211,2.8203127,87.59286699330396,0.8540058135986328,0.4719147851472983,0.087696075,-7.2734885,-8.517905186142176,0.0,19.888916,16.782099
0.9890069,0.7008941423396238,4.699671456159521,-4.3497624,-0.7217348757513771,515.0093894004822,3.1197307109832764,21.673164458121576,44.699373034132,9.941643302230709,51,9.90142822265625,21.610617,9.946224,0.6983057681714528,1.5550921779162685,0.006965538,75.18761074008046,2,0.01796865463256836,2.8154626,70.48793928392094,0.48798179626464844,0.7008941423396238,0.041003227,-4.3907657,-65.78826782776142,0.0,15.117309,16.7009
0.9836493,0.6672729288413018,44.42319084412393,-3.4830847,0.8209525289362078,526.4168767929077,4.472106695175171,21.584548717579814,29.083606698783644,9.811191708221028,52,11.400178909301758,21.522545,9.813868,0.6566883055840612,1.4929255359368112,0.009955385,116.28545872683398,3,0.026844501495361328,2.804441,76.83942298598113,0.7547774314880371,0.6672729288413018,0.07024765,-3.5533323,-62.10047973031293,0.0,13.371889,16.51784
0.9832551,0.7279880875203347,-36.029585370682746,-7.1918025,0.7155449939190766,536.936603307724,3.7342569828033447,21.780686124936544,33.32532407869611,10.010818624309822,53,10.477452516555786,21.71269,10.014116,0.7155806952795122,1.5567420391705633,0.009712895,-23.481601562586835,2,0.018193721771240234,2.8036802,12.547983808095912,0.49564290046691895,0.7279880875203347,0.03944683,-7.2312493,-48.57756917877866,0.0,16.50718,16.505278
0.97657436,0.6223495112209043,34.528178241791466,-6.5712404,0.4633454560337633,546.1943061351776,2.390817403793335,22.046051747400185,37.10332094103129,10.055656670350944,54,9.21597409248352,21.982674,10.05604,0.6204011174375552,1.5773495408011735,0.009777954,103.87576922377225,2,0.01843404769897461,2.7899897,69.34759098198079,0.467226505279541,0.6223495112209043,0.06009531,-6.6313357,-34.81941274018933,0.0,17.129454,16.280851
0.9783853,0.7830536126336017,-48.385458439665825,-7.1155133,0.6866015207613261,556.9626913070679,3.8069117069244385,22.20206034713863,36.12412087169747,10.09559616090201,55,10.763498067855835,22.137888,10.098527,0.7897285135620483,1.524941809068883,0.009913071,-27.236736502466822,2,0.01820087432861328,2.7937455,21.148721937199,0.48670530319213867,0.7830536126336017,0.049538612,-7.165052,-69.53418037686482,0.0,15.854033,16.342115
0.97885364,0.5146581905451447,-80.8927674356489,11.479932,-6.6198478738106985,567.8595473766327,3.601517915725708,22.442865458568814,52.18379608064421,9.78692706061936,56,10.857049226760864,22.390388,9.788726,0.5131983064332041,1.492501101017259,0.009252272,76.16848343381442,3,0.0301511287689209,2.7947714,111.34568679595753,0.8434300422668457,0.5146581905451447,0.107289314,11.3726425,-169.20171371727625,0.0,12.596514,16.358889
0.97925544,0.6958696263354134,-74.63704351283073,-10.772203,0.5639913259786704,578.0006234645844,3.1746644973754883,22.36459444311069,21.165390565353526,10.173652477120237,57,10.09895372390747,22.302097,10.177587,0.6783650159606768,1.4961279867275765,0.0071417824,-73.11408636560037,2,0.01829981803894043,2.7955632,1.5229571472303505,0.4954261779785156,0.6958696263354134,0.037314415,-10.809518,-76.16000066006107,0.0,13.077829,16.371847
0.9781639,0.5728230619898552,205.4462896836516,-7.3915796,-4.772236088883169,587.8707184791565,2.537019729614258,22.531581404853064,54.65464282786835,10.667383180974605,58,9.829923629760742,22.461636,10.669567,0.571645047959417,1.4947009701153344,0.009739038,215.7137691143345,4,0.022744417190551758,2.793476,12.37810923238476,0.648625373840332,0.5728230619898552,0.099617004,-7.4911966,184.29677349258486,0.0,15.180005,16.337713
0.98017627,0.6762141349924956,105.39487276025129,-5.5972247,0.08484307049919326,599.0033514499664,2.952885866165161,22.560948034015944,46.839591004715516,11.04481898029739,59,11.127576112747192,22.484324,11.044032,0.6738842818302424,1.4879780760395653,0.009288268,193.1393540858131,4,0.02997589111328125,2.7976243,120.77373799498379,0.8109734058380127,0.6762141349924956,0.063596725,-5.6608214,-102.88590531543748,0.0,12.895387,16.405626
0.97756624,0.5805737780085093,-56.18950046101171,-3.7525482,-0.37859559963995837,610.4185969829559,3.1664481163024902,22.57035835125091,26.98075206976834,11.405613786259915,60,11.371938943862915,22.502539,11.4076185,0.5794585978000452,1.4657250505296606,0.008904823,-4.944479836712517,3,0.02992701530456543,2.7923238,72.01249838296752,0.816615104675293,0.5805737780085093,0.06755233,-3.8201005,-158.02986157562563,0.0,11.852912,16.318897
0.9791313,0.5550355767876439,42.003913981495835,-6.8444114,0.353869690857442,624.0203106403351,5.1846795082092285,22.377887106419028,43.22891909419701,11.34379654040275,61,13.5597403049469,22.300425,11.345355,0.5484515361196753,1.4687143866828996,0.009870522,221.34282684150236,4,0.035376787185668945,2.795534,117.69942073586965,0.9768762588500977,0.5550355767876439,0.06419563,-6.908607,-95.00088808206807,0.0,11.851799,16.371367
0.977382,0.45092992585728797,96.44894098471244,-15.868016,0.16364854766869152,635.0129432678223,3.360719680786133,22.256417040623912,42.04713753850906,11.873466440416335,62,10.951476097106934,22.165766,11.872994,0.4463865257797953,1.4327056837859122,0.009569537,206.5810227353805,5,0.029679536819458008,2.7919462,99.672982873904,0.7885711193084717,0.45092992585728797,0.052004814,-15.920021,-34.65013405661883,0.0,12.026894,16.312737
