ItrTime,Perplexity,EnvExecTime,MeanKLBefore,NumTrajs,AbsLearnSignalNew,AverageDiscountedReturn,StdReturn,dLoss,AbsLearnSignalOld,AveragePolicyStd,AverageReturn,MinReturn,LossAfter,ExplainedVariance,AbsLearnSignal,MaxReturn,Iteration,MeanKL,Entropy,LossBefore,PolicyExecTime,ProcessExecTime,Time,,,,,,
0.9398548603,16.844688,10.304927,0.0938405991,0,1,0.7970558043,-76.2585642443,0,0.121393204,0.7972409319,-135.9099309541,,-8.4241227573,-135.9099309541,4.6862683,-8.413573,15.8952465,-1.2991417054,0.7970558043,-135.9099309541,28,0.0069995453,10.5298955445,2.8240354,4.8076615,1.5184831062,0.0645728111,0.0036246777,26.3328621387
0.9477798939,16.91963,10.09361,0.0943949223,0,1,0.6702749744,-45.6427872313,0,0.08825302,0.6700885446,-262.6420189672,,-7.8584198728,-262.6420189672,5.536585,-7.855937,14.799896,-9.0307969858,0.6702749744,-262.6420189672,29,0.0064253854,10.2760500923,2.8284745,5.624838,1.4631069646,0.0639383793,0.0034103394,27.2859458923
0.9124929905,17.12608,10.330463,0.0840492249,0,1,0.6142173512,-77.2501549416,0,0.17896318,0.6141199069,-173.4180343076,,-8.2466406109,-173.4180343076,4.365152,-8.244598,20.832087,-50.7992808518,0.6142173512,-173.4180343076,30,0.007137997,10.5607200206,2.8406024,4.544115,1.6190342236,0.0652310848,0.0035505295,28.204064846
0.935259819,17.148829,10.474445,0.0847189426,0,1,0.7440904011,-47.8382752465,0,0.20117664,0.7439456852,-112.8032770784,,-8.1180467386,-112.8032770784,3.417676,-8.111078,14.283819,-4.4716624423,0.7440904011,-112.8032770784,31,0.0077839284,10.6278416018,2.84193,3.6188526,1.4962449201,0.0684962273,0.0035970211,29.1448600292
0.9169056416,17.167814,10.771951,0.0824246407,0,1,0.7610590814,41.5794859122,0,0.11601329,0.7612252707,42.4554263761,,-8.1800428876,42.4554263761,-2.262389,-8.157364,12.329883,-22.3796312959,0.7610590814,42.4554263761,32,0.006422617,10.9324244073,2.8430364,-2.1463757,1.4661654369,0.0640881062,0.0033771992,30.0676860809
0.948646307,17.395912,11.253315,0.0998139381,0,1,0.6930926238,40.7387013488,0,0.108344555,0.6932406418,40.2655652791,,-8.4601659922,40.2655652791,-1.3594494,-8.458212,13.837493,-6.9381976651,0.6930926238,40.2655652791,33,0.0095846,11.3813279463,2.8562353,-1.2511048,1.5574448498,0.0675697327,0.0035192966,31.0220558643
0.9446063042,17.332645,11.063827,0.0859107971,0,1,0.7271555971,-24.6754408342,0,0.17730999,0.7245673287,-84.9697316646,,-8.1572265289,-84.9697316646,3.6288226,-8.138445,15.26577,-3.3238828175,0.7271555971,-84.9697316646,34,0.006962325,11.2112855003,2.8525918,3.8061326,1.5228016544,0.0663645267,0.0035908222,32.0201647282
0.9225757122,17.201698,11.363167,0.0889394283,0,1,0.7334087973,-13.8296262413,0,0.11240077,0.733521397,-80.740168186,,-8.3914637575,-80.740168186,2.5614958,-8.395816,18.283457,-7.6880963924,0.7334087973,-80.740168186,35,0.007787392,11.5581321991,2.8450081,2.6738966,1.6134719576,0.0636951923,0.003510952,32.9480929375
0.9279663563,17.248566,11.66291,0.0808324814,0,1,0.7357209051,-39.9262440676,0,0.10359287,0.7346650202,-104.2930785286,,-8.5833484984,-104.2930785286,3.9606853,-8.564873,16.399717,-121.0419026867,0.7357209051,-104.2930785286,36,0.008714461,11.8342789202,2.847729,4.064278,1.5913826808,0.0655448437,0.0035345554,33.8855714798
0.9222040176,17.713245,11.45141,0.0911540985,0,1,0.7926109111,-29.2426156823,0,0.078294754,0.7925497379,-38.4278923588,,-8.2203064798,-38.4278923588,3.8115947,-8.212347,13.948965,-0.1774170238,0.7926109111,-38.4278923588,37,0.006787269,11.6137712972,2.8743126,3.8898895,1.5322457323,0.064053297,0.0034127235,34.8149752617
